code,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,hold_sessions_to_exit,fixed10_return_pct
6099,2021-10-14,2021-10-15,1236.0,2021-10-19,1211.0,-2.0226537216828433,strict_gakutto_next_open,2,0.0
6143,2018-03-12,2018-03-13,1411.0,2018-03-23,1356.0,-3.897944720056701,strict_gakutto_next_open,7,-4.81927710843374
6143,2019-05-31,2019-06-03,910.0,2019-06-03,882.6999999999999,-3.0000000000000027,stop_-3%,0,1.2087912087912045
6191,2021-07-06,2021-07-07,2825.0,2021-07-08,2718.0,-3.7876106194690284,stop_gap,1,-9.415929203539818
6194,2019-01-31,2019-02-01,1100.0,2019-02-08,1075.5,-2.227272727272722,strict_gakutto_next_open,5,31.818181818181813
6222,2019-03-22,2019-03-25,3505.0,2019-03-29,3399.85,-3.0000000000000027,stop_-3%,4,6.276747503566327
6237,2017-12-20,2017-12-21,1061.7,2017-12-28,1050.0,-1.1020062164453281,strict_gakutto_next_open,5,10.51144391070924
6240,2017-06-19,2017-06-20,459.2,2017-06-23,445.424,-3.0000000000000027,stop_-3%,3,-2.0034843205574915
6254,2025-07-11,2025-07-14,2417.0,2025-07-15,2344.49,-3.0000000000000138,stop_-3%,1,6.164666942490693
6264,2020-10-20,2020-10-21,471.5,2020-10-22,466.0,-1.166489925768821,strict_gakutto_next_open,1,-3.3934252386002117
6287,2018-02-19,2018-02-20,3500.0,2018-03-05,3485.0,-0.4285714285714337,strict_gakutto_next_open,9,-1.4285714285714235
6298,2020-11-05,2020-11-06,324.5,2020-11-30,422.0,30.046224961479197,max15_next_open,15,4.468412942989208
6315,2017-02-09,2017-02-10,580.0,2017-03-03,618.3,6.603448275862056,max15_next_open,15,15.224137931034477
6323,2024-06-11,2024-06-12,3050.0,2024-06-19,3065.0,0.4918032786885185,strict_gakutto_next_open,5,1.4754098360655776
6330,2022-06-24,2022-06-27,640.0,2022-07-01,612.0,-4.374999999999996,stop_gap,4,-0.78125
6330,2024-04-30,2024-05-01,931.0,2024-05-09,896.0,-3.759398496240607,stop_gap,4,12.99677765843179
6371,2018-02-20,2018-02-21,1505.0,2018-03-02,1459.85,-3.0000000000000027,stop_-3%,7,-5.6478405315614655
6418,2016-12-26,2016-12-27,1463.0,2017-01-13,1513.0,3.417634996582364,strict_gakutto_next_open,10,3.417634996582364
6464,2018-02-16,2018-02-19,3035.0,2018-03-01,2943.95,-3.0000000000000027,stop_-3%,8,-1.4168039538715038
6464,2025-11-26,2025-11-27,378.0,2025-12-01,371.0,-1.851851851851849,strict_gakutto_next_open,2,-5.820105820105825
6490,2026-06-05,2026-06-08,8920.0,2026-06-10,8652.4,-3.0000000000000027,stop_-3%,2,24.215246636771305
6506,2025-11-12,2025-11-13,4247.0,2025-11-14,4088.0,-3.7438191664704523,stop_gap,1,-5.015304921120789
6526,2023-04-11,2023-04-12,1910.0,2023-05-08,2280.0,19.371727748691093,max15_next_open,15,13.089005235602102
6532,2019-06-07,2019-06-10,379.0,2019-06-10,367.63,-3.0000000000000027,stop_-3%,0,7.387862796833766
6539,2018-06-15,2018-06-18,1892.5,2018-06-18,1835.725,-3.0000000000000027,stop_-3%,0,3.566710700132103
6539,2020-09-08,2020-09-09,805.0,2020-09-25,824.0,2.360248447204971,strict_gakutto_next_open,10,2.360248447204971
6539,2021-03-24,2021-03-25,1060.0,2021-04-06,1110.0,4.716981132075482,strict_gakutto_next_open,8,4.433962264150937
6564,2019-10-18,2019-10-21,593.8,2019-10-21,575.986,-2.9999999999999916,stop_-3%,0,9.666554395419347
6572,2020-10-14,2020-10-15,835.0,2020-10-15,809.9499999999999,-3.0000000000000027,stop_-3%,0,-13.173652694610782
6572,2022-02-01,2022-02-02,340.0,2022-02-15,346.0,1.764705882352935,strict_gakutto_next_open,8,5.000000000000004
6572,2026-03-27,2026-03-30,220.0,2026-04-10,226.0,2.7272727272727337,strict_gakutto_next_open,9,0.9090909090909038
6619,2019-03-29,2019-04-01,1582.0,2019-04-10,1653.0,4.487989886219967,strict_gakutto_next_open,7,0.7585335018963413
6620,2021-08-12,2021-08-13,1028.0,2021-09-03,1521.0,47.95719844357977,strict_gakutto_next_open,15,53.4046692607004
6645,2026-07-27,2026-07-28,5521.0,2026-07-28,5355.37,-3.0000000000000027,stop_-3%,0,23.166093099076246
6653,2026-07-27,2026-07-28,2202.0,2026-07-28,2135.94,-3.0000000000000027,stop_-3%,0,2.270663033605813
6787,2024-02-05,2024-02-06,4220.0,2024-02-20,4480.0,6.161137440758302,strict_gakutto_next_open,9,8.293838862559234
6800,2017-08-15,2017-08-16,1405.0,2017-08-25,1455.0,3.558718861209975,strict_gakutto_next_open,7,4.982206405693956
6871,2025-01-06,2025-01-07,4100.0,2025-01-14,3977.0,-3.0000000000000027,stop_-3%,4,2.682926829268295
6947,2020-11-27,2020-11-30,2669.0,2020-12-17,2865.0,7.343574372424122,strict_gakutto_next_open,13,10.94042712626453
7013,2022-07-13,2022-07-14,512.9,2022-07-15,497.513,-3.0000000000000027,stop_-3%,1,-1.1308247221680556
7013,2025-07-14,2025-07-15,2190.7,2025-08-06,2477.1,13.07344684347469,max15_next_open,15,4.336513443191681
7013,2026-07-23,2026-07-24,2939.0,2026-07-27,2850.83,-3.0000000000000027,stop_-3%,1,-10.615855733242597
7198,2019-06-19,2019-06-20,1871.0,2019-07-08,2082.0,11.277391769107425,strict_gakutto_next_open,12,14.911811865312675
