code,signal_date,entry_date,ret10,atr14_pct,dd60_pct,ma25_slope5_pct,avg_turnover20,vol_ratio20,gc_gap_pct,gc_runner_score
3445,2018-03-16,2018-03-19,-7.7762619372442,7.4120361468948275,-15.855039637599088,2.156677939790419,1040128200.0,1.327024647887324,0.1031151633561267,1
3561,2024-02-06,2024-02-07,12.408272181454304,3.5165569233705507,-18.597063621533437,0.5864291444220182,967472080.0,1.6818081604415487,1.2567719935098864,0
3580,2019-02-12,2019-02-13,4.645161290322575,2.3963133640553,-16.306695464362853,0.933403251179854,27235930.0,1.118134569462003,0.11429758935992407,1
3660,2024-12-09,2024-12-10,3.7694013303769314,3.1587301587301586,-19.49910554561717,0.3030024791111918,651542090.0,0.9752164403995203,0.7414866349322535,1
3663,2017-05-24,2017-05-25,6.457242582897038,3.517252875479245,-17.99043062200957,1.5532553439088437,172039124.0,0.7348356288724891,0.6417138101154629,0
3663,2021-03-31,2021-04-01,17.653846153846153,4.011532810290815,-16.347402597402606,1.0812150635053586,271328912.0,5.373039198328671,1.379975140153733,1
3678,2026-07-02,2026-07-03,-1.1312217194570096,1.8182805036908378,-18.815545959284396,0.6756128552390939,64841670.0,1.5396952686447474,0.09235031553023187,1
3762,2022-02-25,2022-02-28,5.545826036193802,3.8423070511751964,-16.18581907090465,0.6082632947174593,397062655.0,1.9508235666772251,0.08278561035572896,1
3765,2017-01-24,2017-01-25,-0.7905138339920903,2.657142857142857,-19.614147909967848,0.2899484536082575,1509140595.0,0.3999462711421804,0.06424670735625249,1
3835,2024-09-18,2024-09-19,0.1602564102564097,2.8755463538072235,-15.39509536784741,1.424809237625757,40026780.0,0.5736224028906955,0.8322237017310163,2
3836,2022-03-02,2022-03-03,-1.475694444444442,4.325431301973439,-15.615835777126097,1.2493414615789789,140004225.0,0.6408459166099251,1.4829406080428154,2
3837,2026-05-12,2026-05-13,-4.545454545454541,2.5345622119815667,-18.42105263157895,0.8443102573008954,146538080.0,2.409501089098641,0.6411784966748879,0
3843,2018-09-20,2018-09-21,-10.407239819004522,4.870723426482111,-19.91215226939971,1.4107818411096984,216520585.0,0.703134367730641,1.1502292686718096,1
3854,2024-02-15,2024-02-16,18.222891566265066,2.3882224645583423,-17.402269861286257,0.4653182777019538,132915375.0,1.4489571899012075,0.1976162539368831,0
3863,2020-04-28,2020-04-30,0.25510204081633514,2.1062864549578744,-17.26541554959785,1.3361202243623804,622047175.0,0.5589402356388499,0.14098848594032987,0
3864,2025-07-28,2025-07-29,3.4482758620689724,1.880284824210058,-16.62337662337663,0.780949942388931,122744635.0,0.5693506493506494,0.26041666666667407,0
3915,2019-07-04,2019-07-05,24.371859296482402,2.8933092224231465,-17.493472584856395,0.5190496575342429,30732645.0,1.8683229813664597,1.0247537929198858,1
3922,2020-12-24,2020-12-25,26.512968299711815,4.838039867109634,-15.061728395061724,0.5145691258524376,555491125.0,0.9370442030063998,0.3207302781718324,2
3963,2024-05-30,2024-05-31,-11.383537653239928,4.097744360902256,-17.391304347826086,0.34944670937682165,58843325.0,1.4206581948517432,0.36999419616945417,3
3993,2026-07-31,2026-08-03,5.075784279168127,3.798246962940181,-17.422222222222217,0.5866119547470738,809124700.0,1.0917837347927632,0.018673599839114097,1
4022,2018-08-14,2018-08-15,-6.848828956706887,3.8930868988052687,-18.306569343065693,0.5039638416773684,219032410.0,0.9699146834306241,0.6034482758620952,1
4022,2024-09-19,2024-09-20,1.645338208409508,3.2315454062665956,-18.60816944024206,0.6707914726782782,140548930.0,0.6547399483585393,0.0471597651139799,0
4045,2018-04-02,2018-04-03,2.991107518189162,2.1736649931538112,-15.633423180592986,0.5099077002517216,356638005.0,0.35155023890070797,0.17980991523247614,1
4063,2018-04-16,2018-04-17,1.4148790506617992,2.3124592302674496,-16.348357524828117,0.3941265971292962,13569512550.0,0.7921029206899167,0.07121206588027729,1
4082,2020-12-07,2020-12-08,14.383561643835607,2.9778393351800556,-15.555555555555555,0.3444061770914164,44756800.0,1.4357478528601524,0.005535872453510393,3
4118,2019-10-15,2019-10-16,1.836158192090398,2.4907369287772747,-15.365853658536588,1.553386501606946,1059690275.0,1.053347805660408,0.15823712125653255,1
4180,2022-06-28,2022-06-29,4.1816009557944955,6.25499920012798,-17.314814814814817,1.3437794416621296,543120475.0,1.167288352392405,0.8904980917898042,1
4183,2020-05-25,2020-05-26,20.67796610169492,4.472630173564753,-17.290480065093572,0.5298495389095548,2303093390.0,0.856394913986537,0.4727419030376101,1
4183,2024-09-19,2024-09-20,-1.2057465366854814,2.9571984435797662,-15.05068312031732,2.5626879556911453,3766300035.0,0.8831192623201091,0.24680680511754982,1
